timestamp,BTC,ETH
2021-02-18 17:45:18.838645,51844.22,1916.81
2021-02-18 17:45:20.476999,51851.03,1916.92
2021-02-18 17:45:22.523859,51845.66,1916.82
2021-02-18 17:45:24.163306,51846.69,1916.84
2021-02-18 17:46:16.593266,51897.09,1918.58
2021-02-18 17:46:18.231771,51897.1,1918.56
2021-02-18 17:46:19.870262,51897.1,1918.93
2021-02-18 17:46:21.508689,51907.4,1918.94
2021-02-18 17:46:23.249736,51907.41,1919.0
2021-02-18 17:46:24.887363,51914.04,1918.99
2021-02-18 17:46:26.526601,51911.73,1918.99
2021-02-18 17:47:05.439037,51904.23,1918.99
2021-02-18 17:47:07.077411,51887.92,1918.83
2021-02-18 17:47:08.715723,51887.91,1919.38
2021-02-18 17:47:10.354271,51882.69,1918.83
2021-02-18 17:47:11.992558,51871.98,1918.6
2021-02-18 17:47:13.631338,51859.85,1918.64
2021-02-18 17:47:15.269626,51866.92,1919.07
2021-02-18 17:47:16.907993,51869.0,1919.21
2021-02-18 17:47:18.546133,51870.78,1919.28
2021-02-18 17:47:20.184478,51867.91,1919.54
2021-02-18 17:47:21.823260,51870.75,1919.54
2021-02-18 17:47:23.564000,51869.03,1919.83
2021-02-18 17:47:25.202522,51869.01,1919.81
2021-02-18 17:47:26.840832,51870.47,1919.85
2021-02-18 17:47:28.479518,51869.01,1919.66
2021-02-18 17:47:30.117836,51869.0,1919.65
2021-02-18 17:47:31.756309,51854.48,1919.38
2021-02-18 17:47:33.394300,51859.45,1919.53
2021-02-18 17:47:35.032903,51854.78,1919.35
2021-02-18 17:47:36.671009,51867.32,1919.55
2021-02-18 17:47:38.309346,51863.64,1919.69
